"","geo_id","NAME","lon","lat","pop_density","pop_dens_log","density_label"
"1","1400000US36093033102","331.02",-74.1805065149358,42.7798913704428,82.8794485740861,4.42938063202649,1
"2","1400000US36093020102","201.02",-73.9161408264642,42.8295374783265,6961.9535741241,8.84835902740978,2
"3","1400000US36093032504","325.04",-74.0311231642498,42.9103681274544,87.4831825335445,4.48281250608675,1
"4","1400000US36081003400","34",-73.8581870613369,40.6847731369134,31469.2293198553,10.3567972769672,3
"5","1400000US36081003900","39",-73.9409315635766,40.7627993500987,25975.5513644399,10.1649495394752,3
"6","1400000US36065026502","265.02",-75.2581935480094,43.1027044489955,743.543199929533,6.61277087586649,2
"7","1400000US36065026501","265.01",-75.2704605613975,43.097821968319,3761.37227131853,8.23280496065857,2
"8","1400000US36065021104","211.04",-75.2501544989483,43.0951260131639,11018.7891320864,9.30744794750445,3
"9","1400000US36081003600","36",-73.8568176097334,40.6837713862112,49610.8811061869,10.8119856224595,3
"10","1400000US36081003700","37",-73.9433415283274,40.7624231451031,0,0,1
"11","1400000US36081003800","38",-73.8474940579078,40.6847998983437,33143.8551404903,10.4086427841874,3
"12","1400000US36081004001","40.01",-73.8458742964374,40.6832481209177,31979.1187503652,10.3728696996508,3
"13","1400000US36081004200","42",-73.857964053859,40.6818145451566,57079.6258557198,10.9522200360667,3
"14","1400000US36081004300","43",-73.9375142814788,40.7609450681728,28991.18378732,10.2747815480652,3
"15","1400000US36081077907","779.07",-73.8184802174962,40.7249622903147,41053.5654444292,10.6226573253695,3
"16","1400000US36081024000","240",-73.805079309058,40.7032775403752,68745.7222109635,11.1381843374608,3
"17","1400000US36081024300","243",-73.9020404147596,40.7366666837729,25241.5964518189,10.1362881818801,3
"18","1400000US36081077908","779.08",-73.813692871545,40.7256167586242,43688.4552812002,10.6848620540536,3
"19","1400000US36081024500","245",-73.9050486237789,40.7393540257419,50229.3949548575,10.8243755996409,3
"20","1400000US36081024900","249",-73.9042554221112,40.7431151228205,68834.4143368389,11.1394736347546,3
"21","1400000US36081025100","251",-73.9096561727872,40.7448223024431,63458.5392708442,11.0581578049603,3
"22","1400000US36081025500","255",-73.9079200266912,40.7504263230938,19996.4897267477,9.90336203099602,3
"23","1400000US36081025700","257",-73.9051747783948,40.7501044106951,25076.6695043375,10.1297330679547,3
"24","1400000US36081097204","972.04",-73.7811283141616,40.5939069944313,28244.5550109476,10.2486913794494,3
"25","1400000US36081100801","1008.01",-73.7677314479009,40.6108661304414,8035.27469723375,8.99172090867983,2
"26","1400000US36007012701","127.01",-75.83412485291,42.0396618550511,198.406639430289,5.29534615401598,1
"27","1400000US36029980500","9805",-78.8144492257893,42.9543943716097,1553.67662935033,7.3490228475859,2
"28","1400000US36029004601","46.01",-78.828756995231,42.9554920450968,11429.8358140001,9.34406987869982,3
"29","1400000US36081102900","1029",-73.8073648506156,40.783870807453,18332.8948876044,9.81650680531037,3
"30","1400000US36047021100","211",-73.971925877433,40.6970855655203,26230.4392619234,10.1747139421876,3
"31","1400000US36081025800","258",-73.7872794690397,40.6960420348987,31298.5170545956,10.3513579468436,3
"32","1400000US36081026000","260",-73.7933078227891,40.6927524292795,40786.2584016082,10.6161250175401,3
"33","1400000US36081026200","262",-73.7920924073997,40.6910078744112,30416.5716438212,10.3227757350076,3
"34","1400000US36081026300","263",-73.8970293648331,40.745761925959,61715.3129142956,11.0303035657798,3
"35","1400000US36081026600","266",-73.7816949074038,40.6918811899346,29388.7605685891,10.2884016126833,3
"36","1400000US36047048500","485",-73.9363454669479,40.7078398986468,10559.7350087937,9.26489815794353,2
"37","1400000US36081107202","1072.02",-73.812707590766,40.6182414593673,0,0,1
"38","1400000US36081103201","1032.01",-73.7554469411865,40.6086302515408,42799.7534461185,10.6643109852962,3
"39","1400000US36081103202","1032.02",-73.7475131943422,40.6066696932472,29086.2864696009,10.2780564666159,3
"40","1400000US36081103900","1039",-73.819035196792,40.7840546198506,19878.296751987,9.89743410493633,3
"41","1400000US36081104700","1047",-73.8203709222129,40.7748157531045,21900.0560027588,9.99429013394614,3
"42","1400000US36081105900","1059",-73.8070648101183,40.7737696819028,14609.0142288804,9.58946247865806,3
"43","1400000US36081027000","270",-73.7913977771228,40.6886842517318,28352.9209567656,10.2525206049459,3
"44","1400000US36081027200","272",-73.7913200380285,40.6835771139463,31652.8169162845,10.3626140179719,3
"45","1400000US36081027400","274",-73.7889890003503,40.6849049677192,37122.3868906818,10.5220024244049,3
"46","1400000US36081027800","278",-73.7829164323144,40.6860960523663,37214.8208872722,10.5244892425186,3
"47","1400000US36081027900","279",-73.880222237046,40.7516728607225,125804.43563169,11.742491830834,3
"48","1400000US36081028000","280",-73.7797191243659,40.6883158016585,25571.1592913331,10.149259510998,3
"49","1400000US36081028100","281",-73.8825920063742,40.7522202758927,93107.6846614935,11.441522742067,3
"50","1400000US36081028200","282",-73.7738872700441,40.6849946686078,28700.1932188561,10.2646939764534,3
"51","1400000US36081028400","284",-73.7778568048814,40.68250334236,21596.6849003872,9.98034140739038,3
"52","1400000US36081094500","945",-73.831416856103,40.7904819300649,4350.23039540669,8.37821393360712,2
"53","1400000US36081094700","947",-73.84137163437,40.7855765835557,25857.988681969,10.1604135441353,3
"54","1400000US36081096400","964",-73.7921257707781,40.5928708281418,12737.5845555817,9.45239082056621,3
"55","1400000US36047062000","620",-73.945928411051,40.5791754579117,13206.5682722839,9.48854529823078,3
"56","1400000US36081097300","973",-73.8227253301853,40.7954344775215,7752.02814063277,8.95583877385674,2
